,ucid,uuid,upid,is_correct,total_sec_taken,total_attempt_cnt,used_hint_cnt,points,badges_cnt,level0,level1,level2,level3,level4,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,learning_stage,difficulty
0,+DlgHAr1GtoQgtGqwoen6pt4/ayVRO+rMaCVZ7jGCHE=,7331,38,0.4199972718592279,46.128495430364204,2.5000682035193016,0.9960441958805074,259345.38971490928,68.01350429682172,6738.0,449.0,65.0,75.0,4.0,7.0,6.0,45.0,76.0,17.0,72.0,179.0,4830.0,1776.0,171.0,132.0,20.0,junior,easy
1,+IgBffWedJpxG6Zo/kHbrgIRR4jwwTwa6nV03GLwX5A=,1403,17,0.45759087669280113,45.414112615823235,2.158232359230221,0.3292943692088382,166893.82822523164,34.27655024946543,1321.0,57.0,15.0,8.0,2.0,0.0,3.0,0.0,1.0,23.0,60.0,30.0,40.0,1084.0,114.0,38.0,10.0,junior,normal
2,+Lgj0Me9/8gtiruGKq8KxemAD15kU4yCfb6nteNDWjw=,1384,18,0.6683526011560693,54.634393063583815,1.8309248554913296,0.6257225433526011,367723.6300578035,39.58815028901734,1171.0,123.0,50.0,31.0,9.0,0.0,0.0,5.0,9.0,177.0,905.0,213.0,75.0,0.0,0.0,0.0,0.0,elementary,normal
3,+N+e7SzcUVowUo7D4udR8rBKRmR1H7yuu5Tleqlhv48=,14090,21,0.6479063165365507,43.650461320085164,1.7746628814762242,0.33449254790631655,229151.6282469837,40.48942512420156,11241.0,1808.0,495.0,443.0,103.0,43.0,8.0,28.0,74.0,80.0,756.0,9138.0,1863.0,1578.0,307.0,108.0,107.0,junior,easy
4,+ZVl8HEbTM1GOoCTt2wxAfzQswvAWL3L8e5mLuyy1dY=,19537,18,0.6624353790244152,34.09817269795772,2.124072273122793,0.38675333981675797,275089.95050417155,34.236730306597735,15122.0,2788.0,849.0,580.0,198.0,81.0,120.0,446.0,10639.0,5667.0,2002.0,214.0,63.0,67.0,85.0,85.0,68.0,elementary,easy
5,+aXi8dpg0URdKkJtkicic7DrTHAWPSnR9bwD+QouANE=,16230,19,0.8452865064695009,30.99143561306223,1.4489217498459643,0.18219346888478127,291912.5997535428,37.16216882316697,10731.0,2845.0,1230.0,953.0,471.0,59.0,90.0,120.0,372.0,11966.0,2717.0,573.0,224.0,39.0,22.0,43.0,5.0,elementary,easy
6,+c+5BQh1a2P75VjWgg/aX+j7kru6tteMWrupq+MMQgw=,15894,18,0.807411601862338,48.095948156537055,1.6857304643261608,0.40845602114005286,292207.0505222096,39.95501447086951,11779.0,2551.0,872.0,510.0,182.0,49.0,68.0,132.0,221.0,12537.0,2317.0,361.0,39.0,32.0,19.0,98.0,21.0,elementary,easy
7,+cLbiKkV7+VhNPr7OGG3B3kPpZ8er0mvFvqPbM/gm+E=,16730,31,0.3082486551105798,19.476569037656905,3.0076509264793785,1.1101016138673043,385694.7625821877,47.420322773460846,13694.0,1572.0,880.0,445.0,139.0,201.0,147.0,1395.0,2363.0,6366.0,3076.0,1628.0,415.0,272.0,192.0,244.0,431.0,senior,unset
8,+fQqnCkVTMs8GPkdZJWUcApXC/Ea9bVtxNIblqLRie4=,5314,14,0.6729394053443734,29.834399698908545,1.7062476477229958,0.30015054572826494,400699.79619872035,56.58148287542341,3793.0,781.0,421.0,229.0,90.0,38.0,0.0,61.0,99.0,331.0,509.0,3025.0,579.0,436.0,91.0,39.0,106.0,junior,hard
9,+g5YlvjiVYzjFfpMkHEGCty7PGcKRuuCVDY/g8dzoD0=,2904,16,0.6019283746556474,45.057162534435264,2.4008264462809916,0.8209366391184573,424097.5337465565,56.237258953168045,2409.0,308.0,109.0,49.0,29.0,0.0,0.0,16.0,79.0,1761.0,800.0,206.0,8.0,8.0,18.0,5.0,3.0,elementary,hard
