ucid,uuid,upid,is_correct,total_sec_taken,total_attempt_cnt,used_hint_cnt,points,badges_cnt,level0,level1,level2,level3,level4,repeat_correct_pct,grade_top,learning_stage,difficulty
+DlgHAr1GtoQgtGqwoen6pt4/ayVRO+rMaCVZ7jGCHE=,7271,38,0.419474625,38.02915692,2.503094485,0.995323889,258828.9253,68.06312749,6688,441,64,74,4,0.375346146,8,junior,easy
+IgBffWedJpxG6Zo/kHbrgIRR4jwwTwa6nV03GLwX5A=,1394,17,0.458393113,39.241033,2.156384505,0.327833572,166992.0703,34.36370158,1312,57,15,8,2,0.275331194,9,junior,normal
+Lgj0Me9/8gtiruGKq8KxemAD15kU4yCfb6nteNDWjw=,1377,18,0.668119099,48.08061002,1.832970225,0.62745098,365160.0857,39.45461147,1167,122,49,30,9,0.589527968,6,elementary,normal
+N+e7SzcUVowUo7D4udR8rBKRmR1H7yuu5Tleqlhv48=,14016,21,0.648330479,37.42166096,1.773901256,0.334046804,229002.6826,40.48565925,11180,1800,492,442,102,0.540891645,7,junior,easy
+ZVl8HEbTM1GOoCTt2wxAfzQswvAWL3L8e5mLuyy1dY=,19490,18,0.662852745,31.34776809,2.121446896,0.385941508,275208.6268,34.25141098,15080,2785,848,579,198,0.496142826,4,elementary,easy
+aXi8dpg0URdKkJtkicic7DrTHAWPSnR9bwD+QouANE=,16179,19,0.845725941,27.50985846,1.445392175,0.181160764,291860.3069,37.17015885,10699,2834,1224,951,471,0.735524817,5,elementary,easy
+c+5BQh1a2P75VjWgg/aX+j7kru6tteMWrupq+MMQgw=,15810,18,0.808222644,41.78241619,1.682036686,0.406641366,292349.9483,39.97564832,11711,2538,869,510,182,0.715023893,5,elementary,easy
+cLbiKkV7+VhNPr7OGG3B3kPpZ8er0mvFvqPbM/gm+E=,16693,31,0.308093213,16.66668664,3.007068831,1.110046127,385726.2429,47.43868687,13659,1571,880,444,139,0.159420625,5,senior,unset
+fQqnCkVTMs8GPkdZJWUcApXC/Ea9bVtxNIblqLRie4=,5301,14,0.673269194,26.39766082,1.70609319,0.300132051,400571.647,56.59705716,3782,779,421,229,90,0.534300251,7,junior,hard
+g5YlvjiVYzjFfpMkHEGCty7PGcKRuuCVDY/g8dzoD0=,2890,16,0.601384083,40.41453287,2.404844291,0.821799308,424837.0405,56.31245675,2398,306,108,49,29,0.492659788,5,elementary,hard
+gP/fH6yBDlDTCmjUykZq+rykF0MopXNzQLSxiEVEYY=,3357,13,0.690497468,30.32677986,1.755138517,0.714328269,273905.527,39.78701221,2794,422,63,57,21,0.614869631,6,elementary,normal
+kCFtC8nCf9I2/ee1BGgQRlVBoECQV9G/8z4fL7hzp4=,18175,39,0.646767538,20.37270977,1.686547455,0.467180193,262026.2927,43.32126547,13582,2580,987,803,223,0.506428652,7,junior,easy
+lmw480dBLSwkBgaKdL9MeVNsUfCgHmD+L4wzqUFX9M=,3217,16,0.687286292,104.6400373,2.482126205,0.948709978,217805.6055,38.20174075,2728,348,63,59,19,0.603075657,6,elementary,easy
+mwsRV33uKTS+1DrZGfM+z+Ccut/FGocokZm/j0OJ/k=,13578,16,0.961555457,11.21269701,1.102666077,0.018633083,325979.3796,35.58263367,8433,2659,1099,1104,283,0.924687141,3,elementary,easy
+odAMeNn6DqBHYkdD0fKH59bzQMwJTqsCW9nqJ1etcI=,9036,16,0.69123506,61.95706065,1.970562196,0.581230633,265855.0501,38.35436034,7246,1120,342,212,116,0.591369439,6,elementary,easy
+owQ9eTzitOLHF3SZxKwWN9ZpsHjg3tK4A9fpS7E0oo=,6267,7,0.884155098,29.50646242,1.231530238,0.167863412,250428.952,43.77852242,4709,999,266,233,60,0.839819394,7,junior,easy
